Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
08-JUN-2020,28.68,30.145,27.7975,29.6475,28.68,0.97,3.37
09-JUN-2020,29.6475,30.34,27.24,30.205,29.6475,0.56,1.88
10-JUN-2020,30.205,30.205,28.7275,29.4375,30.205,-0.77,-2.54
11-JUN-2020,29.4375,30.42,28.39,29.66,29.4375,0.22,0.76
12-JUN-2020,29.66,32.875,29.66,30.8225,29.66,1.16,3.92
15-JUN-2020,30.8225,33.7775,29.915,32.5775,30.8225,1.76,5.69
16-JUN-2020,32.5775,35.3125,30.4075,32.965,32.5775,0.39,1.19
17-JUN-2020,32.965,34.0175,29.05,33.355,32.965,0.39,1.18
18-JUN-2020,33.355,33.4225,31.2175,31.455,33.355,-1.90,-5.70
19-JUN-2020,31.455,31.9125,29.6775,29.965,31.455,-1.49,-4.74
22-JUN-2020,29.965,30.9825,29.965,30.46,29.965,0.50,1.65
23-JUN-2020,30.46,31.1475,29.2425,29.34,30.46,-1.12,-3.68
24-JUN-2020,29.34,30.53,27.79,29.5775,29.34,0.24,0.81
25-JUN-2020,29.5775,31.285,29.0575,29.7275,29.5775,0.15,0.51
26-JUN-2020,29.7275,30.065,28.315,28.735,29.7275,-0.99,-3.34
29-JUN-2020,28.735,30.45,27.98,28.91,28.735,0.18,0.61
30-JUN-2020,28.91,29.6325,28.405,29.1175,28.91,0.21,0.72
01-JUL-2020,29.1175,29.1625,27.9375,28.1175,29.1175,-1.00,-3.43
02-JUL-2020,28.1175,28.1175,26.315,26.5075,28.1175,-1.61,-5.73
03-JUL-2020,26.5075,26.775,25.6275,25.7675,26.5075,-0.74,-2.79
06-JUL-2020,25.7675,26.175,24.5425,25.1975,25.7675,-0.57,-2.21
07-JUL-2020,25.1975,25.645,24.24,25.1025,25.1975,-0.10,-0.38
08-JUL-2020,25.1025,26.355,25.03,26.1,25.1025,1.00,3.97
09-JUL-2020,26.1,27.6575,24.735,24.9125,26.1,-1.19,-4.55
10-JUL-2020,24.9125,25.4775,23.485,24.9425,24.9125,0.03,0.12
13-JUL-2020,24.9425,25.9075,22.805,25.2525,24.9425,0.31,1.24
14-JUL-2020,25.2525,27.265,25.2525,26.6375,25.2525,1.39,5.48
15-JUL-2020,26.6375,26.6375,23.74,26.29,26.6375,-0.35,-1.30
16-JUL-2020,26.29,26.5975,25.245,25.3625,26.29,-0.93,-3.53
17-JUL-2020,25.3625,25.5025,23.77,24.1575,25.3625,-1.21,-4.75
20-JUL-2020,24.1575,25.12,24.1575,24.7125,24.1575,0.56,2.30
21-JUL-2020,24.7125,24.7125,23.725,24.4275,24.7125,-0.29,-1.15
22-JUL-2020,24.4275,25.8025,23.73,24.885,24.4275,0.46,1.87
23-JUL-2020,24.885,24.935,24.0075,24.64,24.885,-0.25,-0.98
24-JUL-2020,24.64,25.295,22.7375,24.535,24.64,-0.11,-0.43
