Date,RELIANCE,HDFCBANK,ICICIBANK,INFY,TCS,AXISBANK,BAJFINANCE,DRREDDY,HINDUNILVR,ITC,MARUTI,ONGC,SUNPHARMA,WIPRO
2019-01-03,-0.008104928326390183,0.0019171311657230333,-0.008266137052168476,0.003455019758289697,0.006153926719842487,0.009904680526828451,0.008058327147358687,0.0033461696717102434,0.0020757057189219365,-0.014044794008218522,0.0027426660669357603,-0.001364867701678105,-0.0031518062715524316,0.007856996847551999
2019-01-04,0.013738528053024363,-0.012038136496600299,0.0024986096909714534,-0.0033438677760442358,-0.004748500745931845,-0.003030872950426081,-0.013738203216419168,0.0016984985797780985,-0.0018621169980200091,0.011571757037242291,0.004390265117179761,-0.01248894888494988,-0.01176302090702605,-0.009871365480817577
2019-01-07,0.02619327343639067,-0.01101073981809513,-0.008815755020601113,-0.002969350422426153,-0.003679343602489528,0.006874049099864857,0.007964009180840928,0.004695601000229152,0.010656380820193557,0.012436510818159162,-0.00790691699592222,-0.002343976924112481,0.0018371847754581321,0.002746022800137124
2019-01-08,0.00813946284646555,-0.01627739932178704,0.0013753244512404229,-0.005556268897128368,0.003336891183756255,0.01593046601315691,0.008860973169179791,-0.007186712546532118,0.021841413948192105,-0.007454147114339529,-0.0012382465251128323,0.020423045298356184,0.001929781615371537,-0.0006837893609814706
2019-01-09,0.012764850480403867,-0.015147755886093704,-0.0016855220751240373,0.003090330312414736,0.001882689130450743,-0.002674281158653138,-7.515901986749132e-05,0.019697066415327452,0.007759563427989079,-0.0010767353704066417,0.005160811774197541,-0.003059191370404904,-0.008152503884604234,-0.0013061700352825084
2019-01-10,-0.00843686043753632,0.0005349955192034978,0.0016906611252455216,-0.00012092893401127649,-0.0008066339808223081,-0.0012432255366806831,0.0036937409059841987,0.003087224677671168,-0.010041230888009754,-0.002242952204301041,-0.003071168475573802,-0.0034601393238187124,-0.0008970831132119215,-0.0056589127140310985
2019-01-11,0.00825919086416171,-0.0004770438774614732,-0.013317963443512609,0.0035453231102936696,-0.0037434467459163913,-0.005090812488421338,0.014220272174935605,0.015575115360799672,-0.006977159481768846,0.003077605389412416,0.005002303775468781,-0.008143855412122921,-0.013615725621693223,0.004704541597288399
2019-01-14,-0.007327846317437973,0.0010424873158494576,0.016808517151062217,-0.010762447778927573,-0.005158022557242414,-0.006759333924798633,0.03900303946134614,0.009162116687871194,-0.002033469867667793,0.007995614739315744,0.0050875927191050725,0.03292729023533921,-0.0025600493089466703,-0.014280973740903646
2019-01-15,-0.010320959180167212,0.026105753404814143,-0.011637654848545616,0.0048575161677006954,0.002210279392544076,-0.009509338054966114,0.0031980327592151907,0.0010166003948789033,-0.008000095558701239,-0.0015156202065322363,0.005141367684837493,-0.006541944010334182,0.0005213918977968919,0.01730041443118005
2019-01-16,0.008483682051857159,-0.0027430480102562764,-0.002810759537393877,0.00410158385767375,-0.010631180120020144,0.009265000669672693,0.005487055128867251,-0.009669670459237332,0.0008551034663888775,0.003228434616001051,0.0051173867834848254,-0.0022949673031263346,-0.0054159468952783,0.0025121994256005475
2019-01-17,0.015265046120403166,-0.011960361533665868,-0.0001579133082297401,0.003778512215026655,-0.023338234480743802,0.00503266086524347,-0.019702236265179376,0.01021179282239734,-0.00044424945430964575,0.007538777319097224,-0.00841106575459331,-0.050716568940487976,0.004019059714004375,-0.00423409273235912
2019-01-18,-0.0019718161236606177,0.026511320675150607,-0.008036881524474099,0.0024885868600238357,-0.01598904954509518,0.011892698043546111,-0.02737066468777941,0.004162686764243849,0.0007606696865487899,0.005640775178391764,0.028589486341875078,-0.07506457186719112,-0.017727638493250077,0.018898729373099145
2019-01-21,-0.02118606174297791,0.01095812265488728,0.019450520656881604,0.0065273410881577475,-0.0011590967962274079,-0.0068646299014625016,0.01402090193446084,-0.006050959275929712,-0.019417128890671438,0.00046315381416366097,0.01900112994286812,0.02357869941536535,-0.010241702188240207,-0.01069109290225359
2019-01-22,-0.0018245879424783728,0.01549843800108889,0.00042790281366919883,0.00533063630822495,0.01137494561415336,-0.012606632468020162,0.00721895663596106,-0.009093463710486886,0.00027529850041322496,0.003335615060581719,0.009159685633937466,0.035561698239230055,0.0016064521777608364,0.01033823499802935
2019-01-23,0.005971855479590767,0.013614901120183542,-0.00660366567258162,-0.004605805419747639,0.01354277199896357,0.0030329676896800137,-0.012685212862728664,-0.039185461580598636,0.008395710156783098,0.007582520834874194,0.010259008433858388,0.028795721999288038,-0.00485843834153948,0.012004235764900735
2019-01-24,-0.0026778175284590286,0.002708608859991883,0.00948914203669728,0.0002772923547559043,-0.00991849580127508,-0.004987055041399045,-0.004837264922513839,0.009656838977875585,0.002829371203305856,0.0018677261408549944,0.005964464586099625,-0.014481946292882469,0.0016877426412761614,-0.0018369348093213852
2019-01-25,0.008433816637738518,0.007655560336104039,-0.0020528317779090234,0.018351665037014693,0.004810863549692703,-0.014739999216715307,-0.0071153628916991495,0.0003495392868814458,-0.04545053253537979,0.024784614666018823,-0.007613485985004978,-0.0063176692183623,-0.003134583485079787,-0.008695237692175579
2019-01-28,0.014034453539734055,-0.017216875658154156,-0.009685576862149207,0.008632065487231121,-0.010740046401462729,-0.007206903200441005,-0.01338372914825312,0.0021051599407045617,0.006377092529905968,-0.0069213517289857885,-0.01428883915356439,-0.007751803883408976,0.008342191901981636,0.0037389296105665394
2019-01-29,-0.0034828339865823534,0.01683138775152011,0.005423274679181467,-0.008372325348740505,0.014450303242759784,-2.3938665035683898e-05,0.007631333916541216,0.00552258643676189,0.013931402668404173,0.0048649585689367345,-0.006865972080132794,0.013658471511236654,0.020772841955315584,0.008483595196001566
