pair,stock_a,stock_b,signal,full_kelly,effective_f,mu_spread,sigma_spread,sharpe_spread,pos_a_pct,pos_b_pct,regime_mult,rationale
BAJFINANCE/HDFCBANK,BAJFINANCE,HDFCBANK,FLAT,1.0132,0.0,0.000152,0.012255,0.0124,0.0,0.0,0.0,No signal (z-score inside ±2.0 band)
HDFCBANK/TCS,HDFCBANK,TCS,FLAT,4.0766,0.0,0.000424,0.010193,0.0416,0.0,0.0,0.0,No signal (z-score inside ±2.0 band)
