Date,vix_close
2019-06-07,14.8575
2019-06-10,14.975
2019-06-11,14.49
2019-06-12,14.1225
2019-06-13,13.66
2019-06-14,13.895
2019-06-17,14.65
2019-06-18,14.6
2019-06-19,14.73
2019-06-20,14.0
2019-06-21,14.61
2019-06-24,15.2225
2019-06-25,15.01
2019-06-26,14.75
2019-06-27,14.645
2019-06-28,14.9525
2019-07-01,14.6025
2019-07-02,14.25
2019-07-03,13.695
2019-07-04,13.53
2019-07-05,13.065
2019-07-08,13.8525
2019-07-09,13.6875
2019-07-10,13.635
2019-07-11,12.47
2019-07-12,11.9975
2019-07-15,12.02
2019-07-16,11.56
2019-07-17,11.8
2019-07-18,11.75
2019-07-19,12.515
2019-07-22,13.01
2019-07-23,13.4275
2019-07-24,12.76
2019-07-25,12.635
2019-07-26,12.1325
2019-07-29,13.0625
2019-07-30,13.6125
2019-07-31,13.59
2019-08-01,14.5575
2019-08-02,15.1875
2019-08-05,16.585
2019-08-06,16.12
2019-08-07,16.74
2019-08-08,16.0925
2019-08-09,15.845
2019-08-13,17.7775
2019-08-14,16.3575
2019-08-16,16.6475
2019-08-19,16.7475
2019-08-20,16.6325
2019-08-21,17.0225
2019-08-22,17.8525
2019-08-23,17.3475
2019-08-26,16.655
2019-08-27,16.01
2019-08-28,16.835
2019-08-29,16.425
2019-08-30,16.2825
2019-09-03,18.055
2019-09-04,17.235
2019-09-05,17.2725
2019-09-06,16.275
2019-09-09,15.8525
2019-09-11,15.3725
2019-09-12,14.9
2019-09-13,14.12
2019-09-16,14.9525
2019-09-17,16.0175
2019-09-18,15.3525
2019-09-19,15.55
2019-09-20,15.4
2019-09-23,16.7925
2019-09-24,16.7325
2019-09-25,16.17
2019-09-26,16.3425
2019-09-27,16.115
2019-09-30,15.8725
2019-10-01,16.7575
2019-10-03,17.7025
2019-10-04,17.58
2019-10-07,17.83
2019-10-09,17.155
2019-10-10,17.2275
2019-10-11,17.14
2019-10-14,17.43
2019-10-15,16.85
2019-10-16,16.36
2019-10-17,15.8775
2019-10-18,15.9275
2019-10-22,16.81
2019-10-23,16.535
2019-10-24,16.24
2019-10-25,15.315
2019-10-27,15.585
2019-10-29,16.42
2019-10-30,16.6575
2019-10-31,16.28
2019-11-01,15.7325
2019-11-04,15.925
2019-11-05,15.9175
2019-11-06,15.775
2019-11-07,15.2075
2019-11-08,15.855
2019-11-11,16.25
2019-11-13,16.4625
2019-11-14,15.65
2019-11-15,15.03
2019-11-18,15.755
2019-11-19,15.4125
2019-11-20,15.16
2019-11-21,14.975
2019-11-22,14.8725
2019-11-25,15.0025
2019-11-26,14.8375
2019-11-27,14.6175
2019-11-28,13.9875
2019-11-29,13.8975
2019-12-02,14.2025
2019-12-03,14.5625
2019-12-04,13.3225
2019-12-05,14.305
2019-12-06,13.64
2019-12-09,14.5975
2019-12-10,14.29
2019-12-11,13.3775
2019-12-12,13.3475
2019-12-13,13.3
2019-12-16,13.415
2019-12-17,12.5175
2019-12-18,12.3375
2019-12-19,12.1225
2019-12-20,12.325
2019-12-23,11.9575
2019-12-24,11.625
2019-12-26,11.1225
2019-12-27,10.525
2019-12-30,11.0075
2019-12-31,11.6675
2020-01-01,11.5975
2020-01-02,11.49
2020-01-03,12.695
2020-01-06,14.7775
2020-01-07,14.61
2020-01-08,15.64
2020-01-09,13.9975
2020-01-10,14.0775
2020-01-13,14.275
2020-01-14,13.9125
2020-01-15,14.12
2020-01-16,14.1825
2020-01-17,14.1275
2020-01-20,15.41
2020-01-21,15.8625
2020-01-22,16.36
2020-01-23,15.855
2020-01-24,15.56
2020-01-27,17.175
2020-01-28,17.2975
2020-01-29,16.4975
2020-01-30,16.7975
2020-01-31,17.3675
2020-02-01,16.835
2020-02-03,15.7825
2020-02-04,14.38
2020-02-05,14.1725
2020-02-06,13.78
2020-02-07,13.7475
2020-02-10,14.21
2020-02-11,13.88
2020-02-12,13.6225
2020-02-13,13.37
2020-02-14,13.615
2020-02-17,14.415
2020-02-18,14.51
2020-02-19,14.0225
2020-02-20,13.7
2020-02-24,16.9975
2020-02-25,16.8975
2020-02-26,18.26
2020-02-27,17.765
2020-02-28,23.235
2020-03-02,25.2025
2020-03-03,24.5425
2020-03-04,24.225
2020-03-05,23.2475
2020-03-06,25.6425
2020-03-09,30.8
2020-03-11,31.555
2020-03-12,41.1625
2020-03-13,51.4725
2020-03-16,58.875
2020-03-17,62.925
2020-03-18,63.955
2020-03-19,72.1975
2020-03-20,67.1
2020-03-23,71.985
2020-03-24,83.6075
2020-03-25,77.625
2020-03-26,71.5325
2020-03-27,70.385
2020-03-30,71.89
2020-03-31,64.4075
2020-04-01,60.0525
2020-04-03,55.3025
2020-04-07,51.8
2020-04-08,52.2425
2020-04-09,49.745
2020-04-13,51.4575
2020-04-15,49.735
2020-04-16,46.095
2020-04-17,42.5925
2020-04-20,43.455
2020-04-21,45.1975
2020-04-22,42.8225
2020-04-23,39.23
2020-04-24,39.1175
2020-04-27,38.0425
2020-04-28,35.355
2020-04-29,33.8375
2020-04-30,33.9875
2020-05-04,43.67
2020-05-05,43.6075
2020-05-06,41.2475
2020-05-07,39.93
2020-05-08,38.4075
2020-05-11,38.0375
2020-05-12,38.205
2020-05-13,38.835
2020-05-14,38.1825
2020-05-15,38.0175
2020-05-18,40.915
2020-05-19,39.4525
2020-05-20,35.81
2020-05-21,32.985
2020-05-22,32.3775
2020-05-26,31.47
2020-05-27,31.2725
2020-05-28,30.0175
2020-05-29,30.22
2020-06-01,30.7425
2020-06-02,30.115
2020-06-03,30.0425
2020-06-04,29.69
2020-06-05,28.68
2020-06-08,29.6475
2020-06-09,30.205
2020-06-10,29.4375
2020-06-11,29.66
2020-06-12,30.8225
2020-06-15,32.5775
2020-06-16,32.965
2020-06-17,33.355
2020-06-18,31.455
2020-06-19,29.965
2020-06-22,30.46
2020-06-23,29.34
2020-06-24,29.5775
2020-06-25,29.7275
2020-06-26,28.735
2020-06-29,28.91
2020-06-30,29.1175
2020-07-01,28.1175
2020-07-02,26.5075
2020-07-03,25.7675
2020-07-06,25.1975
2020-07-07,25.1025
2020-07-08,26.1
2020-07-09,24.9125
2020-07-10,24.9425
2020-07-13,25.2525
2020-07-14,26.6375
2020-07-15,26.29
2020-07-16,25.3625
2020-07-17,24.1575
2020-07-20,24.7125
2020-07-21,24.4275
2020-07-22,24.885
2020-07-23,24.64
2020-07-24,24.535
2020-07-27,25.0175
2020-07-28,23.6425
2020-07-29,24.1125
2020-07-30,24.7275
2020-07-31,24.1925
2020-08-03,25.185
2020-08-04,23.815
2020-08-05,23.5675
2020-08-06,23.15
2020-08-07,22.5775
2020-08-10,22.51
2020-08-11,21.36
2020-08-12,20.845
2020-08-13,20.5675
2020-08-14,21.6725
2020-08-17,21.3075
2020-08-18,20.43
2020-08-19,19.9575
2020-08-20,20.6175
2020-08-21,19.9375
2020-08-24,19.23
2020-08-25,19.315
2020-08-26,19.3025
2020-08-27,18.895
2020-08-28,18.3475
2020-08-31,22.835
2020-09-01,21.8
2020-09-02,21.105
2020-09-03,20.5025
2020-09-04,22.1525
2020-09-07,22.0075
2020-09-08,22.7225
2020-09-09,22.23
2020-09-10,21.2625
2020-09-11,20.7125
2020-09-14,21.19
2020-09-15,20.5975
2020-09-16,19.66
2020-09-17,20.1
2020-09-18,20.045
2020-09-21,22.1875
2020-09-22,21.41
2020-09-23,20.99
2020-09-24,23.51
2020-09-25,20.675
2020-09-28,19.5725
2020-09-29,19.775
2020-09-30,19.53
2020-10-01,18.35
2020-10-05,19.705
2020-10-06,19.635
2020-10-07,20.06
2020-10-08,20.38
2020-10-09,20.38
2020-10-12,21.1275
2020-10-13,20.715
2020-10-14,20.21
2020-10-15,22.0575
2020-10-16,21.645
2020-10-19,21.8175
2020-10-20,22.69
2020-10-21,22.915
2020-10-22,22.635
2020-10-23,21.8275
2020-10-26,22.8325
2020-10-27,22.195
2020-10-28,23.28
2020-10-29,24.0225
2020-10-30,24.7525
2020-11-02,25.21
2020-11-03,24.24
2020-11-04,23.2
2020-11-05,20.965
2020-11-06,20.4975
2020-11-09,20.1125
2020-11-10,21.5775
2020-11-11,22.0325
2020-11-12,20.62
2020-11-13,19.7025
2020-11-14,19.13
2020-11-17,19.8025
2020-11-18,19.12
2020-11-19,19.57
2020-11-20,19.6175
2020-11-23,20.7975
2020-11-24,21.0575
2020-11-25,23.1275
2020-11-26,20.0225
2020-11-27,19.8175
2020-12-01,20.1825
2020-12-02,19.9075
2020-12-03,19.0
2020-12-04,18.0275
2020-12-07,18.025
2020-12-08,18.6175
2020-12-09,18.92
2020-12-10,18.7125
2020-12-11,18.79
2020-12-14,19.4025
2020-12-15,19.345
2020-12-16,19.2
2020-12-17,19.1575
2020-12-18,18.6225
2020-12-21,23.19
2020-12-22,21.985
2020-12-23,20.495
2020-12-24,19.9675
2020-12-28,20.4275
2020-12-29,20.79
2020-12-30,21.11
2020-12-31,21.095
2021-01-01,19.56
2021-01-04,20.03
2021-01-05,20.46
2021-01-06,20.995
2021-01-07,20.615
2021-01-08,20.64
2021-01-11,22.3825
2021-01-12,22.8475
2021-01-13,23.2925
2021-01-14,23.0275
2021-01-15,24.01
2021-01-18,24.395
2021-01-19,22.8975
2021-01-20,21.55
2021-01-21,22.18
2021-01-22,22.4225
2021-01-25,23.245
2021-01-27,24.3925
2021-01-28,24.29
2021-01-29,25.3425
2021-02-01,23.3225
2021-02-02,23.345
2021-02-03,23.745
2021-02-04,23.1225
2021-02-05,23.415
2021-02-08,23.9575
2021-02-09,24.27
2021-02-10,23.9525
2021-02-11,23.045
2021-02-12,23.045
2021-02-15,21.475
2021-02-16,21.78
2021-02-17,21.505
2021-02-18,21.5425
2021-02-19,22.25
2021-02-22,25.47
2021-02-23,25.2275
2021-02-24,24.1675
2021-02-25,22.8925
2021-02-26,28.1425
2021-03-01,25.625
2021-03-02,23.605
2021-03-03,22.09
2021-03-04,24.15
2021-03-05,25.56
2021-03-08,24.675
2021-03-09,22.495
2021-03-10,20.7475
2021-03-12,21.7075
2021-03-15,21.2275
2021-03-16,20.19
2021-03-17,20.1575
2021-03-18,20.08
2021-03-19,19.9875
2021-03-22,20.4925
2021-03-23,20.665
2021-03-24,22.455
2021-03-25,22.6975
2021-03-26,20.65
2021-03-30,20.65
2021-03-31,20.645
2021-04-01,19.9875
2021-04-05,21.215
2021-04-06,20.84
2021-04-07,20.2475
2021-04-08,20.3125
2021-04-09,19.785
2021-04-12,22.995
2021-04-13,20.46
2021-04-15,20.89
2021-04-16,20.4025
2021-04-19,22.485
2021-04-20,22.425
2021-04-22,23.025
2021-04-23,22.69
2021-04-26,23.495
2021-04-27,23.0825
2021-04-28,22.58
2021-04-29,23.305
2021-04-30,23.0275
2021-05-03,23.6925
2021-05-04,23.01
2021-05-05,21.9625
2021-05-06,22.035
2021-05-07,20.8225
2021-05-10,20.225
2021-05-11,19.83
2021-05-12,20.08
2021-05-14,20.2675
2021-05-17,19.6075
2021-05-18,19.24
2021-05-19,19.3175
2021-05-20,19.6525
2021-05-21,19.08
2021-05-24,19.13
2021-05-25,18.8425
2021-05-26,20.8725
2021-05-27,19.91
2021-05-28,17.4025
2021-05-31,16.885
2021-06-01,17.3875
2021-06-02,17.21
2021-06-03,15.745
2021-06-04,15.94
2021-06-07,15.5675
2021-06-08,15.225
2021-06-09,14.7525
2021-06-10,15.0025
2021-06-11,14.1025
2021-06-14,14.715
2021-06-15,14.605
2021-06-16,14.865
2021-06-17,15.2875
2021-06-18,14.7975
2021-06-21,15.06
2021-06-22,14.7375
2021-06-23,15.365
2021-06-24,15.0975
2021-06-25,13.3675
2021-06-28,13.4025
2021-06-29,13.0025
2021-06-30,13.045
2021-07-01,12.84
2021-07-02,12.09
2021-07-05,12.0675
2021-07-06,12.275
2021-07-07,12.2125
2021-07-08,13.56
2021-07-09,12.9425
2021-07-12,12.9925
2021-07-13,12.6225
2021-07-14,12.59
2021-07-15,12.27
2021-07-16,11.705
2021-07-19,12.68
2021-07-20,13.205
2021-07-22,11.885
2021-07-23,11.7625
2021-07-26,12.45
2021-07-27,13.2325
2021-07-28,13.6925
2021-07-29,12.945
2021-07-30,12.8025
2021-08-02,12.805
2021-08-03,13.7475
2021-08-04,13.2125
2021-08-05,12.8725
2021-08-06,12.6075
2021-08-09,12.605
2021-08-10,12.705
2021-08-11,12.7125
2021-08-12,12.3725
2021-08-13,12.99
2021-08-16,13.4575
2021-08-17,13.4125
2021-08-18,12.905
2021-08-20,14.015
2021-08-23,13.685
2021-08-24,13.1875
2021-08-25,13.4975
2021-08-26,13.5375
2021-08-27,13.405
2021-08-30,13.3175
2021-08-31,14.52
2021-09-01,14.185
2021-09-02,14.24
2021-09-03,14.5425
2021-09-06,15.105
2021-09-07,14.895
2021-09-08,14.41
2021-09-09,13.9425
2021-09-13,14.025
2021-09-14,13.575
2021-09-15,13.73
2021-09-16,14.4125
2021-09-17,15.2325
2021-09-20,17.4925
2021-09-21,16.52
2021-09-22,16.4925
2021-09-23,16.6025
2021-09-24,16.9225
2021-09-27,18.0525
2021-09-28,18.535
2021-09-29,18.8375
2021-09-30,18.4025
2021-10-01,17.21
2021-10-04,16.735
2021-10-05,16.3975
2021-10-06,17.3325
2021-10-07,16.155
2021-10-08,15.6525
2021-10-11,16.085
2021-10-12,15.8475
2021-10-13,16.1
2021-10-14,15.7675
2021-10-18,17.185
2021-10-19,17.3825
2021-10-20,18.3125
2021-10-21,18.035
2021-10-22,17.545
2021-10-25,17.61
2021-10-26,16.7525
2021-10-27,16.8275
2021-10-28,17.9125
2021-10-29,17.425
2021-11-01,17.235
2021-11-02,17.0625
2021-11-03,16.125
2021-11-04,15.7475
2021-11-08,16.34
2021-11-09,16.0025
2021-11-10,16.305
2021-11-11,16.3525
2021-11-12,15.2175
2021-11-15,15.465
2021-11-16,15.195
2021-11-17,14.98
2021-11-18,14.8575
2021-11-22,17.52
2021-11-23,18.015
2021-11-24,17.095
2021-11-25,16.6625
2021-11-26,20.8025
2021-11-29,20.83
2021-11-30,21.1675
2021-12-01,19.4475
2021-12-02,18.0875
2021-12-03,18.455
2021-12-06,20.0775
2021-12-07,18.46
2021-12-08,17.265
2021-12-09,16.6025
2021-12-10,16.06
2021-12-13,16.57
2021-12-14,16.9525
2021-12-15,17.2175
2021-12-16,15.895
2021-12-17,16.3375
2021-12-20,18.965
2021-12-21,17.5375
2021-12-22,16.58
2021-12-23,15.825
2021-12-24,16.1475
2021-12-27,17.1175
2021-12-28,16.475
2021-12-29,16.2425
2021-12-30,16.565
2021-12-31,16.2225
2022-01-03,16.4525
2022-01-04,16.12
2022-01-05,17.2275
2022-01-06,17.9775
2022-01-07,17.6025
2022-01-10,17.6775
2022-01-11,17.7575
2022-01-12,17.1825
2022-01-13,16.705
2022-01-14,16.555
2022-01-17,16.765
2022-01-18,17.78
2022-01-19,17.8175
2022-01-20,17.79
2022-01-21,18.8875
2022-01-24,22.825
2022-01-25,21.3575
2022-01-27,21.065
2022-01-28,20.695
2022-01-31,21.9525
2022-02-01,19.9775
2022-02-02,18.65
2022-02-03,19.16
2022-02-04,18.8975
2022-02-07,20.4375
2022-02-08,19.685
2022-02-09,18.555
2022-02-10,17.71
2022-02-11,18.68
2022-02-14,22.9775
2022-02-15,20.6125
2022-02-16,20.5925
2022-02-17,22.005
2022-02-18,22.165
2022-02-21,22.9025
2022-02-22,26.6625
2022-02-23,24.5425
2022-02-24,31.9825
2022-02-25,26.74
2022-02-28,28.57
2022-03-02,29.2325
2022-03-03,28.155
2022-03-04,27.9575
2022-03-07,29.33
2022-03-08,28.5875
2022-03-09,27.4675
2022-03-10,25.5825
2022-03-11,25.345
2022-03-14,25.6775
2022-03-15,26.73
2022-03-16,24.1175
2022-03-17,22.61
2022-03-21,24.6225
2022-03-22,24.07
2022-03-23,24.7475
2022-03-24,23.93
2022-03-25,23.43
2022-03-28,22.61
2022-03-29,21.3025
2022-03-30,20.61
2022-03-31,20.56
2022-04-01,18.435
2022-04-04,17.9075
2022-04-05,18.4875
2022-04-06,19.0225
2022-04-07,18.9975
2022-04-08,17.6875
2022-04-11,18.27
2022-04-12,18.1575
2022-04-13,17.785
2022-04-18,19.335
2022-04-19,19.775
2022-04-20,18.6725
2022-04-21,17.8525
2022-04-22,18.3525
2022-04-25,21.2575
2022-04-26,19.1875
2022-04-27,20.605
2022-04-28,19.3775
2022-04-29,19.415
2022-05-02,20.2825
2022-05-04,21.8775
2022-05-05,20.2925
2022-05-06,21.25
2022-05-09,22.0325
2022-05-10,22.3025
2022-05-11,22.8025
2022-05-12,24.265
2022-05-13,23.485
2022-05-16,24.5275
2022-05-17,22.7425
2022-05-18,22.295
2022-05-19,24.5575
2022-05-20,23.1
2022-05-23,23.3975
2022-05-24,25.635
2022-05-25,25.2825
2022-05-26,22.7175
2022-05-27,21.48
2022-05-30,19.98
2022-05-31,20.4775
2022-06-01,20.845
2022-06-02,20.32
2022-06-03,19.975
2022-06-06,20.2025
2022-06-07,20.425
2022-06-08,19.8375
2022-06-09,19.14
2022-06-10,19.575
2022-06-13,22.365
2022-06-14,21.8875
2022-06-15,22.1475
2022-06-16,22.8675
2022-06-17,22.7575
2022-06-20,22.4125
2022-06-21,21.1425
2022-06-22,21.3
2022-06-23,20.88
2022-06-24,20.55
2022-06-27,21.005
2022-06-28,21.45
2022-06-29,21.9
2022-06-30,21.84
2022-07-01,21.25
2022-07-04,20.9725
2022-07-05,20.7875
2022-07-06,20.2675
2022-07-07,19.2025
2022-07-08,18.395
2022-07-11,18.3675
2022-07-12,18.5475
2022-07-13,18.52
2022-07-14,18.34
2022-07-15,17.5975
2022-07-18,17.16
2022-07-19,17.2025
2022-07-20,16.8225
2022-07-21,16.8575
2022-07-22,16.65
2022-07-25,17.68
2022-07-26,18.17
2022-07-27,18.13
2022-07-28,17.0125
2022-07-29,16.55
2022-08-01,17.485
2022-08-02,18.53
2022-08-03,18.45
2022-08-04,19.2575
2022-08-05,18.915
2022-08-08,19.3025
2022-08-10,19.5875
2022-08-11,18.355
2022-08-12,17.6075
2022-08-16,17.685
2022-08-17,17.6775
2022-08-18,17.35
2022-08-19,18.285
2022-08-22,19.0375
2022-08-23,19.05
2022-08-24,18.43
2022-08-25,19.57
2022-08-26,18.215
2022-08-29,19.8225
2022-08-30,18.7
2022-09-01,19.8725
2022-09-02,19.55
2022-09-05,19.6625
2022-09-06,19.525
2022-09-07,19.3675
2022-09-08,18.305
2022-09-09,17.7175
2022-09-12,17.9375
2022-09-13,17.47
2022-09-14,18.2775
2022-09-15,18.3925
2022-09-16,19.8225
2022-09-19,19.94
2022-09-20,18.7975
2022-09-21,19.325
2022-09-22,18.815
2022-09-23,20.5925
2022-09-26,21.8925
2022-09-27,21.5675
2022-09-28,22.095
2022-09-29,21.3025
2022-09-30,19.9675
2022-10-03,21.365
2022-10-04,19.57
2022-10-06,19.315
2022-10-07,18.8125
2022-10-10,19.6225
2022-10-11,20.49
2022-10-12,20.175
2022-10-13,20.29
2022-10-14,18.2575
2022-10-17,18.4175
2022-10-18,17.4525
2022-10-19,17.4875
2022-10-20,17.2325
2022-10-21,17.28
2022-10-24,17.4225
2022-10-25,16.88
2022-10-27,16.5975
2022-10-28,15.9225
2022-10-31,15.8025
2022-11-01,16.13
2022-11-02,16.6625
2022-11-03,15.9425
2022-11-04,15.655
2022-11-07,15.585
2022-11-09,15.915
2022-11-10,15.5675
2022-11-11,14.405
2022-11-14,14.91
2022-11-15,14.635
2022-11-16,15.1
2022-11-17,14.8775
2022-11-18,14.39
2022-11-21,14.7975
2022-11-22,13.8425
2022-11-23,14.0425
2022-11-24,13.4775
2022-11-25,13.3325
2022-11-28,13.565
2022-11-29,13.615
2022-11-30,13.8075
2022-12-01,13.36
2022-12-02,13.45
2022-12-05,13.7325
2022-12-06,14.0425
2022-12-07,14.0775
2022-12-08,13.3975
2022-12-09,13.4775
2022-12-12,13.3175
2022-12-13,12.8825
2022-12-14,12.885
2022-12-15,13.7325
2022-12-16,14.07
2022-12-19,13.5525
2022-12-20,13.78
2022-12-21,15.5625
2022-12-22,15.1875
2022-12-23,16.16
2022-12-26,15.9325
2022-12-27,15.29
2022-12-28,15.395
2022-12-29,14.8125
2022-12-30,14.8675
2023-01-02,14.685
2023-01-03,14.385
2023-01-04,15.1975
2023-01-05,14.9825
2023-01-06,15.025
2023-01-09,14.6525
2023-01-10,15.51
2023-01-11,15.435
2023-01-12,15.275
2023-01-13,14.46
2023-01-16,15.0225
2023-01-17,14.59
2023-01-18,14.3725
2023-01-19,13.96
2023-01-20,13.7875
2023-01-23,13.6175
2023-01-24,13.6575
2023-01-25,14.655
2023-01-27,17.32
2023-01-30,17.71
2023-01-31,16.875
2023-02-01,16.78
2023-02-02,15.7325
2023-02-03,14.3975
2023-02-06,14.6875
2023-02-07,14.125
2023-02-08,13.595
2023-02-09,13.04
