Date,mkt_return,india_vix,momentum_sharpe,regime_int,regime_name
2019-01-30,-0.000295524812954,0.148575,-0.15005141150500265,0,Sideways
2019-01-31,0.016420984366342,0.148575,0.07155247467748582,0,Sideways
2019-02-01,0.0055143555218799,0.148575,0.07593282051979333,0,Sideways
2019-02-04,0.0014479883612497,0.148575,0.05825782395346497,0,Sideways
2019-02-05,0.0017652265754085,0.148575,0.05243789641786055,0,Sideways
2019-02-06,0.0113893972181392,0.148575,0.09733998358814472,0,Sideways
2019-02-07,0.0003701352851551,0.148575,0.12480302425462027,0,Sideways
2019-02-08,-0.011687741696041,0.148575,0.05667581561429788,0,Sideways
2019-02-11,-0.0052779912194749,0.148575,0.05881620362433797,0,Sideways
2019-02-12,-0.0055432973395613,0.148575,-0.0739177425553134,0,Sideways
2019-02-14,-0.0081690687604076,0.148575,-0.12940243772074445,0,Sideways
2019-02-15,-0.0022746079054004,0.148575,-0.15330964219077473,0,Sideways
2019-02-18,-0.0080697081282436,0.148575,-0.20452643650086283,0,Sideways
2019-02-19,-0.0037034630463324,0.148575,-0.26758748105734403,0,Sideways
2019-02-20,0.0120291736356905,0.148575,-0.14418360705354527,0,Sideways
2019-02-21,0.0047965370994984,0.148575,-0.0586466231241907,0,Sideways
2019-02-22,-9.10545716317844e-05,0.148575,-0.06865449339317427,0,Sideways
2019-02-25,0.0079047370055666,0.148575,0.026024206965333092,0,Sideways
2019-02-26,-0.0043840285398272,0.148575,0.07489908716685004,0,Sideways
2019-02-27,-0.0029055196082812,0.148575,0.06258059402999716,0,Sideways
2019-02-28,-0.0015682095875303,0.148575,0.053867571343201054,0,Sideways
2019-03-01,0.0062991612377268,0.148575,-0.016513384727096264,0,Sideways
2019-03-05,0.0110872474500973,0.148575,0.024762786646745395,0,Sideways
2019-03-06,0.0056902176696892,0.148575,0.05468568041828752,0,Sideways
2019-03-07,0.0002124310309074,0.148575,0.043642892110768196,0,Sideways
2019-03-08,-0.0023218656255442,0.148575,-0.058472168324865445,0,Sideways
2019-03-11,0.0116907463408623,0.148575,0.026361837158687406,0,Sideways
2019-03-12,0.0115939899459704,0.148575,0.19560404371371695,0,Sideways
2019-03-13,0.0033193475405772,0.148575,0.2643691416420456,0,Sideways
2019-03-14,-0.0001212992504978,0.148575,0.3141794176283807,0,Sideways
2019-03-15,0.0070850252219976,0.148575,0.4574255390141746,0,Sideways
2019-03-18,0.0028309303822222,0.148575,0.5086437606225239,1,Bull
2019-03-19,0.005847880650703,0.148575,0.6900166066130763,1,Bull
2019-03-20,-0.001242655650497,0.148575,0.7329409156792337,1,Bull
2019-03-22,-0.0058415138226328,0.148575,0.5580445548329666,1,Bull
2019-03-25,-0.0092580160101636,0.148575,0.38191240904345203,1,Bull
2019-03-26,0.0110393921852798,0.148575,0.4537083002021906,1,Bull
2019-03-27,-0.0035900833293993,0.148575,0.3599229145583226,1,Bull
2019-03-28,0.0106002996479344,0.148575,0.47425354798582037,1,Bull
2019-04-01,0.0082751630747889,0.148575,0.5670668049651303,1,Bull
2019-04-02,0.0035098503650991,0.148575,0.6187240086952123,1,Bull
2019-04-03,-0.0061876155784184,0.148575,0.48977171858005103,1,Bull
2019-04-04,-0.0042120156445519,0.148575,0.377423194214938,1,Bull
2019-04-05,0.0055837531429778,0.148575,0.37676237221911485,1,Bull
2019-04-08,-0.0055393416920873,0.148575,0.32107762060491074,1,Bull
2019-04-09,0.0055376537598565,0.148575,0.3822968463334076,1,Bull
2019-04-10,-0.0077957644587719,0.148575,0.23539474932012186,1,Bull
2019-04-11,0.0008119389769713,0.148575,0.16531079245171315,1,Bull
2019-04-12,0.0037652786841489,0.148575,0.1686269084607254,0,Sideways
2019-04-15,0.0037619383183289,0.148575,0.19896946618437544,0,Sideways
2019-04-16,0.0079883699386445,0.148575,0.2046234314046877,0,Sideways
2019-04-18,-0.0031764312400465,0.148575,0.1555252649348088,0,Sideways
2019-04-22,-0.0138228777747325,0.148575,0.0014639988913214249,0,Sideways
2019-04-23,-0.001854801785992,0.148575,-0.0028558047322193563,0,Sideways
2019-04-24,0.0126338004396804,0.148575,0.12075829031662524,0,Sideways
2019-04-25,-0.0074773076200872,0.148575,0.13477670262493846,0,Sideways
2019-04-26,0.0093889509620245,0.148575,0.125446382870347,0,Sideways
2019-04-30,-0.0008110620886891,0.148575,0.1458956653295322,0,Sideways
2019-05-02,-0.002251759000053,0.148575,0.05925650115759031,0,Sideways
2019-05-03,-0.0013246260317865,0.148575,-0.011135470203673512,0,Sideways
2019-05-06,-0.0100390144649659,0.148575,-0.10867906036901322,0,Sideways
2019-05-07,-0.0089477171983144,0.148575,-0.1260869859391471,0,Sideways
2019-05-08,-0.0123723666582716,0.148575,-0.1734801460240924,0,Sideways
2019-05-09,-0.0053459625432256,0.148575,-0.2509725220083187,0,Sideways
2019-05-10,-0.002286166076955,0.148575,-0.23040665282829517,0,Sideways
2019-05-13,-0.0119136273092775,0.148575,-0.3437180645983646,0,Sideways
2019-05-14,0.0063445715241743,0.148575,-0.24374851863267544,0,Sideways
2019-05-15,-0.0060714083451697,0.148575,-0.28807249714561645,0,Sideways
2019-05-16,0.0086739658753718,0.148575,-0.24682141421702256,0,Sideways
2019-05-17,0.0129834435211736,0.148575,-0.17502422455857697,0,Sideways
2019-05-20,0.0359924155222419,0.148575,-0.007115337516479735,1,Bull
2019-05-21,-0.0103823906532847,0.148575,-0.037019424887399614,0,Sideways
2019-05-22,0.0021987356236763,0.148575,0.030801537426819278,0,Sideways
2019-05-23,-0.0071697621059758,0.148575,0.007789144348509224,0,Sideways
2019-05-24,0.0156607533668939,0.148575,0.02039529352388098,0,Sideways
2019-05-27,0.0065283153694308,0.148575,0.07974099756068151,0,Sideways
2019-05-28,7.744404732745567e-05,0.148575,0.04094332689765343,0,Sideways
2019-05-29,-0.0059452841866238,0.148575,0.018778528724696326,0,Sideways
2019-05-30,0.0068661143931583,0.148575,0.05723866722522357,0,Sideways
2019-05-31,-0.0021935754795645,0.148575,0.05351958469091202,0,Sideways
2019-06-03,0.0135482539395927,0.148575,0.15252703752748484,0,Sideways
2019-06-04,-0.0058074205612398,0.148575,0.1675700647134938,0,Sideways
2019-06-06,-0.0151668576195686,0.148575,0.1531462806427519,0,Sideways
2019-06-07,0.0020107611373672,0.148575,0.18580118990556843,0,Sideways
2019-06-10,0.0041172260004117,0.14975,0.21361645462072476,0,Sideways
2019-06-11,0.0033337347730232,0.1449,0.2906358855564279,0,Sideways
2019-06-12,-0.0052344809778889,0.14122500000000002,0.2365937282289678,0,Sideways
2019-06-13,0.0004011337922608,0.1366,0.26897812656825104,0,Sideways
2019-06-14,-0.0079041517452367,0.13895,0.19233307331306454,0,Sideways
2019-06-17,-0.0131243849458803,0.1465,0.07669417997940164,0,Sideways
2019-06-18,0.0013984496710617,0.146,-0.10271510407518035,0,Sideways
2019-06-19,-0.0002621964227106,0.14730000000000001,-0.04242798546955855,0,Sideways
2019-06-20,0.0116708373994902,0.14,0.01691495330488197,0,Sideways
2019-06-21,-0.0093980135456413,0.1461,0.003428919062944773,0,Sideways
2019-06-24,-0.0023454953000974,0.152225,-0.115138107620948,0,Sideways
2019-06-25,0.0079817585851704,0.1501,-0.10441488867313177,0,Sideways
2019-06-26,0.0040644868497249,0.1475,-0.07759004820745861,0,Sideways
2019-06-27,-0.0007644986168592,0.14645,-0.044653908166483396,0,Sideways
2019-06-28,-0.0047183166954675,0.14952500000000002,-0.12284907761735006,0,Sideways
2019-07-01,0.006231351712144,0.146025,-0.06518504882177693,0,Sideways
2019-07-02,0.003502194471799,0.1425,-0.14346930327525753,0,Sideways
2019-07-03,0.000283481378284,0.13695000000000002,-0.10108951954350164,0,Sideways
2019-07-04,0.0022563648983347,0.1353,0.02914353911149581,0,Sideways
2019-07-05,-0.011673177721629,0.13065,-0.07784897515510074,0,Sideways
2019-07-08,-0.0218722553064293,0.13852499999999998,-0.22626547689451978,0,Sideways
2019-07-09,-0.0004914885001725,0.136875,-0.25285589904162353,0,Sideways
