,ticker,alpha,alpha_t,alpha_pvalue,beta_MKT,beta_SMB,beta_HML,beta_RMW,beta_CMA,r_squared,adj_r_squared,n_obs
0,RELIANCE,-0.00014676114536649515,-0.5121017609087068,0.6086421312122743,1.1879154607951006,-0.5539873733328933,0.47476576306258206,-0.6919836509301075,-0.28813408163191,0.6719244674530003,0.6710201798770714,1820
1,HDFCBANK,0.0001418648265023969,0.4768762767205588,0.6335076667265164,1.1250346409657983,-0.8662476415455852,0.25036867135302676,-0.4780059267143226,0.527809606948832,0.6911325787735396,0.6902812352751204,1820
2,ICICIBANK,0.00017138471096003378,0.678476133382164,0.49755639289424414,0.7166735196678069,-0.0024006520807536933,1.221650103016287,1.1661443116102936,-0.43456562721983283,0.5161880466949824,0.5148544966583093,1820
3,INFY,-0.00018114204254620825,-0.849376048273548,0.3957841552288324,1.0037492028013895,-0.45775258847539235,-0.12605653857434823,0.1353457819791924,0.3765529056317426,0.6694868264205076,0.6685758198781164,1820
4,TCS,-3.911419514840188e-05,-0.14638849452793934,0.8836309752654748,0.6209521138993723,-0.46387204387002223,-0.18292292494201245,0.19841924771130026,-0.3175685994024753,0.35539228680738055,0.35361552905326643,1820
5,AXISBANK,8.601028782382854e-05,0.35714968752334925,0.7210212919333743,1.1332486831983155,0.00573113429081562,0.46952015682715836,-0.2848736275362204,0.27023676330137375,0.6932127135095418,0.6923671035688295,1820
6,BAJFINANCE,0.0001522901658335047,0.5589994326977711,0.5762311080564273,1.0628091210723567,-0.012148836105518743,-0.15964525806386448,0.34986583372770064,-0.8252107101912605,0.5631366298935321,0.5619324860950027,1820
7,DRREDDY,-0.00031669339963325883,-1.133796796858644,0.2570296090565837,0.656816112169669,0.5193837083853171,0.39557329958394377,-0.06768740399940312,0.23710805944522886,0.39191033886924453,0.3902342372674509,1820
8,HINDUNILVR,2.3733379285292407e-05,0.08531152619333206,0.932023142692788,0.9502782493051327,-0.6361807106126273,-0.4590596627800823,0.37937347170087404,0.6315401974436213,0.5779391636353985,0.5767758206465214,1820
9,ITC,8.856795499493904e-05,0.28346513032135057,0.7768526544155269,1.1317558150586364,1.308655129397948,-0.24666674907554204,1.1447259146778428,1.0044413566949133,0.6458622954395474,0.6448861716673301,1820
10,MARUTI,0.00015935089615678409,0.68668549827798,0.49236870494518203,1.0471761521507503,0.40856727378805924,-0.873971538158658,-0.8726183910317806,-0.39411943912472897,0.6843154597918162,0.6834453259985191,1820
11,ONGC,0.0002799146930935075,0.9052819737230366,0.36543624236889066,0.6665296050080056,0.6338211225367328,0.7354209757374366,0.2302808589769637,0.1227348021130133,0.34734894749305456,0.34555001956442466,1820
12,SUNPHARMA,-8.143045905629142e-05,-0.3645481984859806,0.7154911799137352,0.8506916542193095,0.3601419298547621,-0.43257717533389606,-0.2759527896802015,-0.8052120194730856,0.602230393190401,0.6011340050790184,1820
13,WIPRO,-9.34642738597008e-05,-0.4400404666501913,0.6599602221330068,1.181194286702257,0.7711098557235742,0.9718011834911553,1.185284507677724,-0.7647658313779848,0.7329205009012443,0.732184339106595,1820
