pair,stock_a,stock_b,signal,full_kelly,effective_f,mu_spread,sigma_spread,sharpe_spread,pos_a_pct,pos_b_pct,regime_mult,rationale,sentiment_mult,gated_pos_a_pct,gated_pos_b_pct
BAJFINANCE/HDFCBANK,BAJFINANCE,HDFCBANK,FLAT,0.2918,0.1459,0.00015,0.022668,0.0066,0.0,0.0,1.0,No signal (z-score inside ±2.0 band),0.85,0.0,0.0
HDFCBANK/TCS,HDFCBANK,TCS,FLAT,2.013,1.0065,0.0007,0.018643,0.0375,0.0,0.0,1.0,No signal (z-score inside ±2.0 band),0.85,0.0,0.0
