ticker,feature,mean_abs_shap,shap_today
BAJFINANCE,resid_lag1,0.007726,0.012445
BAJFINANCE,resid_lag2,0.005346,0.004485
BAJFINANCE,resid_lag3,0.011151,-0.000784
BAJFINANCE,resid_lag5,0.004093,-0.000774
BAJFINANCE,resid_lag10,0.007792,-0.005634
BAJFINANCE,resid_vol5d,0.016146,0.010429
BAJFINANCE,resid_vol20d,0.016376,-0.009855
BAJFINANCE,resid_sq_lag1,0.001356,-0.000346
BAJFINANCE,resid_zscore_20d,0.009854,0.011242
BAJFINANCE,resid_rank_20d,0.014143,0.019973
BAJFINANCE,resid_cum5d,0.008928,-0.013924
BAJFINANCE,resid_cum10d,0.008949,-0.019098
BAJFINANCE,factor_MKT,0.018651,-0.011936
BAJFINANCE,factor_SMB,0.006374,-0.007573
BAJFINANCE,factor_HML,0.008364,-0.002657
BAJFINANCE,factor_RMW,0.003476,0.004142
BAJFINANCE,factor_CMA,0.003302,-0.002765
BAJFINANCE,regime,0.004741,-0.002576
BAJFINANCE,is_black_swan,0.001405,0.000731
BAJFINANCE,days_since_black_swan,0.006113,0.00336
DRREDDY,resid_lag1,0.0,0.0
DRREDDY,resid_lag2,3.2e-05,1.3e-05
DRREDDY,resid_lag3,0.0,0.0
DRREDDY,resid_lag5,0.0,0.0
DRREDDY,resid_lag10,0.002724,-0.002363
DRREDDY,resid_vol5d,0.004474,0.004268
DRREDDY,resid_vol20d,0.0,0.0
DRREDDY,resid_sq_lag1,0.0,0.0
DRREDDY,resid_zscore_20d,0.003775,-0.000621
DRREDDY,resid_rank_20d,0.0,0.0
DRREDDY,resid_cum5d,0.0,0.0
DRREDDY,resid_cum10d,0.0,0.0
DRREDDY,factor_MKT,0.001053,-0.000515
DRREDDY,factor_SMB,0.0,0.0
DRREDDY,factor_HML,0.00074,0.000383
DRREDDY,factor_RMW,0.0,0.0
DRREDDY,factor_CMA,7.1e-05,-7.1e-05
DRREDDY,regime,0.000798,-0.000502
DRREDDY,is_black_swan,0.0,0.0
DRREDDY,days_since_black_swan,0.0,0.0
HINDUNILVR,resid_lag1,0.014646,-0.004469
HINDUNILVR,resid_lag2,0.021119,0.021382
HINDUNILVR,resid_lag3,0.047844,-0.061114
HINDUNILVR,resid_lag5,0.012687,0.017796
HINDUNILVR,resid_lag10,0.048376,0.033896
HINDUNILVR,resid_vol5d,0.013234,-0.016493
HINDUNILVR,resid_vol20d,0.013864,-0.014221
HINDUNILVR,resid_sq_lag1,0.011291,-0.007463
HINDUNILVR,resid_zscore_20d,0.010916,-0.001407
HINDUNILVR,resid_rank_20d,0.020205,0.055828
HINDUNILVR,resid_cum5d,0.025868,0.003958
HINDUNILVR,resid_cum10d,0.049211,0.017927
HINDUNILVR,factor_MKT,0.014638,0.004591
HINDUNILVR,factor_SMB,0.012356,-0.011398
HINDUNILVR,factor_HML,0.013351,-0.01972
HINDUNILVR,factor_RMW,0.046168,0.02043
HINDUNILVR,factor_CMA,0.040428,-0.051343
HINDUNILVR,regime,0.018798,0.012141
HINDUNILVR,is_black_swan,0.009022,-0.015784
HINDUNILVR,days_since_black_swan,0.00659,0.001281
ITC,resid_lag1,0.0,0.0
ITC,resid_lag2,0.00184,0.001164
ITC,resid_lag3,0.0,0.0
ITC,resid_lag5,0.0,0.0
ITC,resid_lag10,0.000822,-0.000883
ITC,resid_vol5d,0.0,0.0
ITC,resid_vol20d,0.0,0.0
ITC,resid_sq_lag1,0.0,0.0
ITC,resid_zscore_20d,0.0,0.0
ITC,resid_rank_20d,0.0,0.0
ITC,resid_cum5d,0.0,0.0
ITC,resid_cum10d,0.001567,5e-06
ITC,factor_MKT,0.001687,0.000942
ITC,factor_SMB,0.0,0.0
ITC,factor_HML,0.006207,0.004547
ITC,factor_RMW,0.0,0.0
ITC,factor_CMA,0.0,0.0
ITC,regime,0.0,0.0
ITC,is_black_swan,0.0,0.0
ITC,days_since_black_swan,0.0,0.0
MARUTI,resid_lag1,0.0,0.0
MARUTI,resid_lag2,0.002642,-0.000549
MARUTI,resid_lag3,0.0,0.0
MARUTI,resid_lag5,0.0,0.0
MARUTI,resid_lag10,0.001249,-0.00052
MARUTI,resid_vol5d,0.001299,-0.001631
MARUTI,resid_vol20d,0.0,0.0
MARUTI,resid_sq_lag1,0.003139,0.003939
MARUTI,resid_zscore_20d,0.0,0.0
MARUTI,resid_rank_20d,0.0,0.0
MARUTI,resid_cum5d,0.001179,-0.000331
MARUTI,resid_cum10d,0.0,0.0
MARUTI,factor_MKT,0.0,0.0
MARUTI,factor_SMB,8.4e-05,-5.1e-05
MARUTI,factor_HML,0.000156,0.0001
MARUTI,factor_RMW,0.0,0.0
MARUTI,factor_CMA,1.5e-05,9e-06
MARUTI,regime,0.001561,-0.001521
MARUTI,is_black_swan,0.0,0.0
MARUTI,days_since_black_swan,0.0,0.0
ONGC,resid_lag1,0.003697,0.004674
ONGC,resid_lag2,0.003631,0.001399
ONGC,resid_lag3,0.025554,-0.064377
ONGC,resid_lag5,0.012588,-0.017198
ONGC,resid_lag10,0.004597,-0.006045
ONGC,resid_vol5d,0.02041,-0.040365
ONGC,resid_vol20d,0.010727,-0.012737
ONGC,resid_sq_lag1,0.006484,-0.010371
ONGC,resid_zscore_20d,0.008408,0.011948
ONGC,resid_rank_20d,0.000582,-0.000376
ONGC,resid_cum5d,0.007898,0.002863
ONGC,resid_cum10d,0.022616,-0.036068
ONGC,factor_MKT,0.004701,-0.000323
ONGC,factor_SMB,0.002747,0.002772
ONGC,factor_HML,0.003465,-0.005198
ONGC,factor_RMW,0.011899,-0.012542
ONGC,factor_CMA,0.016911,0.046839
ONGC,regime,0.001743,2.2e-05
ONGC,is_black_swan,0.0,0.0
ONGC,days_since_black_swan,0.010079,0.017943
SUNPHARMA,resid_lag1,0.014683,0.000663
SUNPHARMA,resid_lag2,0.018091,0.032105
SUNPHARMA,resid_lag3,0.010598,0.011505
SUNPHARMA,resid_lag5,0.029798,0.024387
SUNPHARMA,resid_lag10,0.00432,-0.004865
SUNPHARMA,resid_vol5d,0.006236,0.002014
SUNPHARMA,resid_vol20d,0.008077,0.007023
SUNPHARMA,resid_sq_lag1,0.00846,0.002254
