Date,mkt_return,india_vix,momentum_sharpe,trend_63d,regime_int,regime_name,prob_bull,prob_sideways,prob_bear,regime_confidence
2019-04-05,0.0055837531429778,0.148575,0.37676237221911485,0.0009773477882169537,0,Bull,1.0,2.259393124222595e-82,0.0,1.0
2019-04-08,-0.0055393416920873,0.148575,0.32107762060491074,0.0010713657021431408,0,Bull,0.9998831039660745,0.00011689603392557295,5.809195984594012e-18,0.9998831039660745
2019-04-09,0.0055376537598565,0.148575,0.3822968463334076,0.0010816194535168027,0,Bull,0.9998529832306343,0.0001470163510664686,4.1829915023643115e-10,0.9998529832306343
2019-04-10,-0.0077957644587719,0.148575,0.23539474932012186,0.0008963353372556266,0,Bull,0.9997345791983379,0.00026541789056928075,2.911092858780917e-09,0.9997345791983379
2019-04-11,0.0008119389769713,0.148575,0.16531079245171315,0.0008686566217374964,0,Bull,0.9996375454467523,0.00036245056333706894,3.989910730735434e-09,0.9996375454467523
2019-04-12,0.0037652786841489,0.148575,0.1686269084607254,0.0008548277647325044,0,Bull,0.9994961345682285,0.0005038585225577803,6.909213729716603e-09,0.9994961345682285
2019-04-15,0.0037619383183289,0.148575,0.19896946618437544,0.0009677711277011186,0,Bull,0.999649147968582,0.00035084574275466313,6.288663400355779e-09,0.999649147968582
2019-04-16,0.0079883699386445,0.148575,0.2046234314046877,0.0011378021890918204,0,Bull,0.9995261864898122,0.00047380746075853606,6.0494293649795854e-09,0.9995261864898122
2019-04-18,-0.0031764312400465,0.148575,0.1555252649348088,0.0011760306256037298,0,Bull,0.9998152932177164,0.00018470167257995213,5.1097035679293935e-09,0.9998152932177164
2019-04-22,-0.0138228777747325,0.148575,0.0014639988913214249,0.0007416749830566552,0,Bull,0.9986020264808536,0.0013979139002083258,5.961893806662205e-08,0.9986020264808536
2019-04-23,-0.001854801785992,0.148575,-0.0028558047322193563,0.0007112257154062875,0,Bull,0.9992026387991376,0.000797294818396329,6.638246588305652e-08,0.9992026387991376
2019-04-24,0.0126338004396804,0.148575,0.12075829031662524,0.0008941534325731207,0,Bull,0.9964375956046501,0.00356224932612496,1.5506922489980198e-07,0.9964375956046501
2019-04-25,-0.0074773076200872,0.148575,0.13477670262493846,0.0007770132399211161,0,Bull,0.999430923787698,0.0005689442521368064,1.3196016509176314e-07,0.999430923787698
2019-04-26,0.0093889509620245,0.148575,0.125446382870347,0.0008504430627825224,0,Bull,0.9983361172948049,0.0016638391869806097,4.351821463716558e-08,0.9983361172948049
2019-04-30,-0.0008110620886891,0.148575,0.1458956653295322,0.0008983816590660748,0,Bull,0.9996400502321996,0.0003599240626116851,2.5705188720605095e-08,0.9996400502321996
2019-05-02,-0.002251759000053,0.148575,0.05925650115759031,0.0009998958185110749,0,Bull,0.9996567719310885,0.0003432199407056726,8.128205836709054e-09,0.9996567719310885
2019-05-03,-0.0013246260317865,0.148575,-0.011135470203673512,0.0009561694283204573,0,Bull,0.99952498508773,0.00047500280889936804,1.2103370461483792e-08,0.99952498508773
2019-05-06,-0.0100390144649659,0.148575,-0.10867906036901322,0.0009025501300337795,0,Bull,0.9991909414057011,0.0008089821638947966,7.643040413097779e-08,0.9991909414057011
2019-05-07,-0.0089477171983144,0.148575,-0.1260869859391471,0.0009408039801066858,0,Bull,0.9992636973622531,0.0007361899356126356,1.1270213431937487e-07,0.9992636973622531
2019-05-08,-0.0123723666582716,0.148575,-0.1734801460240924,0.0007624373316544398,0,Bull,0.9985085373833814,0.0014911597190463417,3.0289757221721157e-07,0.9985085373833814
2019-05-09,-0.0053459625432256,0.148575,-0.2509725220083187,0.0006822716533961606,0,Bull,0.9987220922050438,0.0012776255357935314,2.822591625442365e-07,0.9987220922050438
2019-05-10,-0.002286166076955,0.148575,-0.23040665282829517,0.00038533275747081123,0,Bull,0.9973264765391575,0.002673228749910919,2.94710931514305e-07,0.9973264765391575
2019-05-13,-0.0119136273092775,0.148575,-0.3437180645983646,0.00010869810935720176,0,Bull,0.9918923892160391,0.008104280255955935,3.330528005070914e-06,0.9918923892160391
2019-05-14,0.0063445715241743,0.148575,-0.24374851863267544,0.00018642165162584617,0,Bull,0.9774914468289896,0.022498511532798166,1.0041638212346057e-05,0.9774914468289896
2019-05-15,-0.0060714083451697,0.148575,-0.28807249714561645,6.203062114047792e-05,0,Bull,0.9844436731878311,0.015543374387356002,1.2952424812818609e-05,0.9844436731878311
2019-05-16,0.0086739658753718,0.148575,-0.24682141421702256,1.8928536334646172e-05,0,Bull,0.9117129890101,0.08822735521629553,5.965577360445216e-05,0.9117129890101
2019-05-17,0.0129834435211736,0.148575,-0.17502422455857697,0.00021913977817620964,0,Bull,0.6516293007237939,0.34785092380997784,0.0005197754662282159,0.6516293007237939
2019-05-20,0.0359924155222419,0.148575,-0.007115337516479735,0.0009759676705299064,1,Sideways,4.943230395253671e-05,0.9067148336621572,0.09323573403389022,0.9067148336621572
2019-05-21,-0.0103823906532847,0.148575,-0.037019424887399614,0.0008949454572948303,1,Sideways,0.23430666437459752,0.7452787119358718,0.020414623689530727,0.7452787119358718
2019-05-22,0.0021987356236763,0.148575,0.030801537426819278,0.0010178348694097129,0,Bull,0.9067613985483126,0.09294291144300908,0.0002956900086783414,0.9067613985483126
2019-05-23,-0.0071697621059758,0.148575,0.007789144348509224,0.001033696879797519,0,Bull,0.9967774041776698,0.003216289744362361,6.306077967886765e-06,0.9967774041776698
2019-05-24,0.0156607533668939,0.148575,0.02039529352388098,0.0013183851539609207,0,Bull,0.9924689300847588,0.0075281571525452826,2.9127626958687002e-06,0.9924689300847588
2019-05-27,0.0065283153694308,0.148575,0.07974099756068151,0.0015500998126541652,0,Bull,0.9994218781317381,0.0005779253275189718,1.9654074289329752e-07,0.9994218781317381
2019-05-28,7.744404732745567e-05,0.148575,0.04094332689765343,0.0016101142109662264,0,Bull,0.9997808650532647,0.00021912310553761827,1.1841197762599581e-08,0.9997808650532647
2019-05-29,-0.0059452841866238,0.148575,0.018778528724696326,0.0013248053566437773,0,Bull,0.9997384586373483,0.0002615340787324582,7.283919219134037e-09,0.9997384586373483
2019-05-30,0.0068661143931583,0.148575,0.05723866722522357,0.0013576557898764738,0,Bull,0.9994668516845595,0.0005331392899772082,9.025463295137404e-09,0.9994668516845595
2019-05-31,-0.0021935754795645,0.148575,0.05351958469091202,0.0013242824421315102,0,Bull,0.9997708639300037,0.0002291262647074928,9.805288783532065e-09,0.9997708639300037
2019-06-03,0.0135482539395927,0.148575,0.15252703752748484,0.0014138620760049405,0,Bull,0.998487361110481,0.0015126184227020822,2.046681705884291e-08,0.998487361110481
2019-06-04,-0.0058074205612398,0.148575,0.1675700647134938,0.0013912685518555341,0,Bull,0.9998441638244332,0.00015581860346216907,1.757210469324922e-08,0.9998441638244332
2019-06-06,-0.0151668576195686,0.148575,0.1531462806427519,0.0011966441389779563,0,Bull,0.9993966015679572,0.0006033696771628795,2.87548799577257e-08,0.9993966015679572
2019-06-07,0.0020107611373672,0.148575,0.18580118990556843,0.0012534531981033136,0,Bull,0.9998131517005155,0.0001868437126302314,4.586854160644675e-09,0.9998131517005155
2019-06-10,0.0041172260004117,0.14975,0.21361645462072476,0.0012188193054475185,0,Bull,0.9997512516870567,0.00024874683823777313,1.4747054527967334e-09,0.9997512516870567
2019-06-11,0.0033337347730232,0.1449,0.2906358855564279,0.0010957476756526913,0,Bull,0.9998970753046393,0.00010292353100536569,1.1643551552419017e-09,0.9998970753046393
2019-06-12,-0.0052344809778889,0.14122500000000002,0.2365937282289678,0.0009223397606117691,0,Bull,0.9999164402618573,8.355861300792697e-05,1.1251347026888716e-09,0.9999164402618573
2019-06-13,0.0004011337922608,0.1366,0.26897812656825104,0.0009253350425380135,0,Bull,0.9999562167523536,4.3782739445347335e-05,5.082011020993926e-10,0.9999562167523536
2019-06-14,-0.0079041517452367,0.13895,0.19233307331306454,0.0008367273263524183,0,Bull,0.999896823994995,0.00010317494542649562,1.0595784256293917e-09,0.999896823994995
2019-06-17,-0.0131243849458803,0.1465,0.07669417997940164,0.0004428363535469802,0,Bull,0.9983267838389532,0.001673183694273305,3.2466773587954724e-08,0.9983267838389532
2019-06-18,0.0013984496710617,0.146,-0.10271510407518035,0.00028100238092938177,0,Bull,0.997076290931589,0.0029234147929349153,2.9427547618814075e-07,0.997076290931589
2019-06-19,-0.0002621964227106,0.14730000000000001,-0.04242798546955855,0.00022415247675021033,0,Bull,0.9965049683077621,0.0034945585498138724,4.731424240092889e-07,0.9965049683077621
2019-06-20,0.0116708373994902,0.14,0.01691495330488197,0.000411329248972242,0,Bull,0.9948748329082769,0.00512344585804859,1.7212336744113557e-06,0.9948748329082769
2019-06-21,-0.0093980135456413,0.1461,0.003428919062944773,0.00014969371297797384,0,Bull,0.9961524679507707,0.003845968648120809,1.5634011085470007e-06,0.9961524679507707
2019-06-24,-0.0023454953000974,0.152225,-0.115138107620948,6.75282259570278e-05,0,Bull,0.9869317507786353,0.013066361708064118,1.887513300596369e-06,0.9869317507786353
2019-06-25,0.0079817585851704,0.1501,-0.10441488867313177,0.00010139930428190716,0,Bull,0.9467974792124904,0.05318182426216941,2.0696525340031174e-05,0.9467974792124904
2019-06-26,0.0040644868497249,0.1475,-0.07759004820745861,0.00018563966142828655,0,Bull,0.9702848527606039,0.029695832705853277,1.9314533542788958e-05,0.9702848527606039
2019-06-27,-0.0007644986168592,0.14645,-0.044653908166483396,0.0002662272043770738,0,Bull,0.9932711954569299,0.006724562523608829,4.24201946126971e-06,0.9932711954569299
2019-06-28,-0.0047183166954675,0.14952500000000002,-0.12284907761735006,0.0003382859236579643,0,Bull,0.9961911913565856,0.0038074674687756786,1.3411746387822068e-06,0.9961911913565856
2019-07-01,0.006231351712144,0.146025,-0.06518504882177693,0.000261967820909777,0,Bull,0.9930830264728353,0.006915586743551502,1.3867836132280047e-06,0.9930830264728353
2019-07-02,0.003502194471799,0.1425,-0.14346930327525753,0.0003745436590240357,0,Bull,0.9974253203800238,0.002573448629445199,1.230990530908808e-06,0.9974253203800238
2019-07-03,0.000283481378284,0.13695000000000002,-0.10108951954350164,0.00021078463887085479,0,Bull,0.9989908718467304,0.001008846399141818,2.8175412778838765e-07,0.9989908718467304
2019-07-04,0.0022563648983347,0.1353,0.02914353911149581,0.00011524815987951831,0,Bull,0.9990650120194559,0.0009348908267643068,9.715377986874987e-08,0.9990650120194559
2019-07-05,-0.011673177721629,0.13065,-0.07784897515510074,-0.00012575228594156264,0,Bull,0.9985331733272691,0.0014663648053730267,4.6186735784774524e-07,0.9985331733272691
2019-07-08,-0.0218722553064293,0.13852499999999998,-0.22626547689451978,-0.00037471482130681504,0,Bull,0.9338165382872623,0.06611446235549223,6.899935724547293e-05,0.9338165382872623
2019-07-09,-0.0004914885001725,0.136875,-0.25285589904162353,-0.0003156588348880944,0,Bull,0.9651094631147722,0.03485440184610823,3.613503911964126e-05,0.9651094631147722
2019-07-10,-0.0052026867732649,0.13635,-0.252676668361546,-0.0004868721668919468,0,Bull,0.9697737519586279,0.03019981120911446,2.6436832257708028e-05,0.9697737519586279
2019-07-11,0.0070205571963504,0.1247,-0.20460408836749275,-0.0002875086924723007,0,Bull,0.9884825286463692,0.011496590372914813,2.0880980715998235e-05,0.9884825286463692
2019-07-12,-0.0028859790409095,0.119975,-0.1765411364760217,-0.0004212171496273166,0,Bull,0.9981557425631183,0.0018413534291276236,2.904007753996903e-06,0.9981557425631183
2019-07-15,0.002840449131296,0.1202,-0.08156770274644375,-0.0002523883624833817,0,Bull,0.9991247781065026,0.0008748355237981076,3.863696992009518e-07,0.9991247781065026
2019-07-16,0.0061289212243191,0.11560000000000001,-0.04945469177077417,-0.00016799181887468647,0,Bull,0.9994033452124798,0.0005964495217954466,2.0526572466914778e-07,0.9994033452124798
2019-07-17,0.0018748509730962,0.11800000000000001,-0.03553385815650726,-0.000197998607939015,0,Bull,0.9995694772422565,0.0004304410494692943,8.170827421335726e-08,0.9995694772422565
2019-07-18,-0.0080399764215038,0.1175,-0.17078683636870268,-0.0003853305879363595,0,Bull,0.9992554926568187,0.0007443752310913498,1.3211208990357003e-07,0.9992554926568187
2019-07-19,-0.0156952633936505,0.12515,-0.20031628331147888,-0.0007612612757505658,0,Bull,0.9824749907921086,0.017521053896904486,3.955310986924078e-06,0.9824749907921086
2019-07-22,-0.0066755610028731,0.1301,-0.22551069634889362,-0.0008168030180176547,0,Bull,0.9618295228812548,0.038147738707179066,2.2738411566196686e-05,0.9618295228812548
2019-07-23,-0.0015941120035615,0.134275,-0.2984951584362355,-0.0006226956248244641,0,Bull,0.9477957573458514,0.052168493636664044,3.574901748456235e-05,0.9477957573458514
2019-07-24,-0.0055450097738516,0.1276,-0.36739119702847384,-0.0006812703547904895,0,Bull,0.969228095073878,0.03073906105087665,3.2843875245457704e-05,0.969228095073878
2019-07-25,-0.0019583348492584,0.12635,-0.3759614192582592,-0.0009128915498530101,0,Bull,0.940887706903743,0.05907876866902845,3.352442722862384e-05,0.940887706903743
2019-07-26,0.002595169069247,0.121325,-0.3235767389769897,-0.000753010967482626,0,Bull,0.9549042171251398,0.04504847170286774,4.731117199229748e-05,0.9549042171251398
2019-07-29,-0.0087212534831992,0.130625,-0.4319940571471511,-0.0010404745301052245,0,Bull,0.8260946361986781,0.17380285608444196,0.00010250771687995015,0.8260946361986781
2019-07-30,-0.0095780188732804,0.136125,-0.5236768781931541,-0.0011796325743050865,1,Sideways,0.2585625633729858,0.7410739530281968,0.00036348359881740593,0.7410739530281968
2019-07-31,0.0026785175690392,0.1359,-0.5012429308431827,-0.0011013742160655277,1,Sideways,0.016467391117345742,0.9830615580092437,0.0004710508734106501,0.9830615580092437
2019-08-01,-0.0127479169578296,0.14557499999999998,-0.5925383527257826,-0.0012826962942566879,1,Sideways,0.0003516946682711562,0.9991056774468088,0.0005426278849200656,0.9991056774468088
2019-08-02,0.0013209265749626,0.151875,-0.5128807303528587,-0.0011023797698133785,1,Sideways,6.66710332964324e-05,0.9994224019907724,0.0005109269759312687,0.9994224019907724
2019-08-05,-0.0125865750997391,0.16585,-0.5167104175317248,-0.001160139419042342,1,Sideways,6.65419401391649e-06,0.9991352588260416,0.0008580869799444791,0.9991352588260416
2019-08-06,0.0075960290583404,0.1612,-0.4267100619519605,-0.0008431807568738974,1,Sideways,1.0491596650661549e-05,0.9989877377680466,0.001001770635302628,0.9989877377680466
2019-08-07,-0.0087656986545393,0.1674,-0.44561285189733646,-0.0008974622824503055,1,Sideways,2.0858220901203968e-05,0.9991950495695672,0.000784092209531462,0.9991950495695672
2019-08-08,0.015911147290305,0.160925,-0.33917280679851375,-0.0006086160385255435,1,Sideways,2.321268529012093e-06,0.9975139433205783,0.0024837354108927577,0.9975139433205783
2019-08-09,0.0067152508675288,0.15845,-0.26942148973252317,-0.00031291955952861814,1,Sideways,0.0003427189582600402,0.9987608733076192,0.0008964077341208546,0.9987608733076192
2019-08-13,-0.0169405662673633,0.177775,-0.3660918016229174,-0.0006825249212990562,1,Sideways,3.4386645217809103e-06,0.9982664699630517,0.00173009137242659,0.9982664699630517
2019-08-14,0.0091750281893459,0.16357500000000003,-0.3410541469556073,-0.000440517992179761,1,Sideways,3.508498555163962e-05,0.9987774289174627,0.0011874860969857224,0.9987774289174627
2019-08-16,0.0014088888285787,0.166475,-0.34415711597256904,-0.000555836675462191,1,Sideways,6.20466863732397e-05,0.9992561522962644,0.000681801017362304,0.9992561522962644
2019-08-19,0.0002941102611826,0.16747499999999998,-0.29914495981953654,-0.0007572546637160166,1,Sideways,1.8635810590241055e-05,0.9993979866713468,0.0005833775180628662,0.9993979866713468
2019-08-20,-0.0036017443593609,0.166325,-0.24597856506221047,-0.001385733391995426,1,Sideways,5.687796037258925e-07,0.9994160316699016,0.0005833995504947842,0.9994160316699016
2019-08-21,-0.0092205373669938,0.17022500000000002,-0.25835229075168986,-0.001367291276340015,1,Sideways,3.3717054132741015e-07,0.999229141419266,0.000770521410192604,0.999229141419266
2019-08-22,-0.0166341268679107,0.178525,-0.32463832831231865,-0.0016662256016033007,1,Sideways,3.694316895156909e-09,0.9978383389468748,0.002161657358808324,0.9978383389468748
2019-08-23,0.0079013250267094,0.173475,-0.24233811333956226,-0.001427001996322583,1,Sideways,8.58193412084913e-09,0.9982780587980871,0.0017219326199788255,0.9982780587980871
2019-08-26,0.0206226064767404,0.16655,-0.10618700160866595,-0.0013482424231504168,1,Sideways,5.393842468295805e-10,0.9923226426513846,0.007677356809231258,0.9923226426513846
2019-08-27,0.0040284548436197,0.16010000000000002,-0.09915482269765807,-0.001387922748956942,1,Sideways,6.086760692864556e-07,0.9989061003458923,0.0010932909780383064,0.9989061003458923
2019-08-28,-0.0056074863919771,0.16835,-0.08531703810714152,-0.0014781597400570143,1,Sideways,1.4847842662335568e-07,0.9991518437020442,0.0008480078195292397,0.9991518437020442
2019-08-29,-0.0091511504049478,0.16425,-0.08343955162746527,-0.0015290465054272364,1,Sideways,2.7060850750146844e-07,0.9991061180301981,0.0008936113612943008,0.9991061180301981
2019-08-30,0.0065645668385545,0.162825,-0.06438349068164956,-0.0015338329745479317,1,Sideways,5.7781319171601184e-08,0.9990009492587527,0.0009989929599279043,0.9990009492587527
2019-09-03,-0.0209129081281784,0.18055,-0.09701689987258831,-0.0018309652388116442,1,Sideways,1.1909769689393204e-10,0.9925608942459961,0.007439105634906086,0.9925608942459961
2019-09-04,0.0040622633783733,0.17235,-0.08450745093729002,-0.0019815365175611587,1,Sideways,2.1205867604463728e-10,0.9967052785580861,0.0032947212298552386,0.9967052785580861
2019-09-05,4.170552651958987e-05,0.17272500000000002,-0.02963166647305282,-0.0018886932463268828,1,Sideways,8.481448709685052e-10,0.9978840480794207,0.0021159510724342843,0.9978840480794207
2019-09-06,0.0087628965287876,0.16274999999999998,-0.024218575215293667,-0.0015088558788926571,1,Sideways,3.869446573624612e-08,0.9986143442495169,0.001385617056017412,0.9986143442495169
2019-09-09,0.0049221709215052,0.158525,0.03824514277300488,-0.001462643025176181,1,Sideways,3.755785097826477e-07,0.9990655719338593,0.0009340524876309297,0.9990655719338593
2019-09-11,0.0027050640717235,0.153725,-0.02360939144532985,-0.0014850582938855177,1,Sideways,1.4312774477654217e-06,0.9993342256876192,0.0006643430349330107,0.9993342256876192
2019-09-12,-0.005063031533433,0.149,-0.08142916882066689,-0.0016183402987499016,1,Sideways,3.3786666395061383e-06,0.9994424912604273,0.0005541300729332647,0.9994424912604273
2019-09-13,0.0081832806018117,0.1412,0.04388258080346546,-0.0014053599562149715,1,Sideways,9.855611795636063e-06,0.9991100452118454,0.0008800991763588663,0.9991100452118454
2019-09-16,-0.0068161445063002,0.14952500000000002,-0.03926657259290616,-0.0015199199292080033,1,Sideways,6.2450226004924024e-06,0.9993018855789085,0.0006918693984909724,0.9993018855789085
2019-09-17,-0.0172969392712487,0.16017499999999998,-0.12766112698587018,-0.0016690117947002574,1,Sideways,1.2233309491961423e-07,0.9983156260118031,0.0016842516551020437,0.9983156260118031
2019-09-18,0.0018706555946946,0.153525,-0.11976222970812617,-0.0014309952781831952,1,Sideways,2.769576459245489e-06,0.9994287970658341,0.0005684333577066011,0.9994287970658341
2019-09-19,-0.0128687090913862,0.1555,-0.15989079292673192,-0.0016574581156823683,1,Sideways,6.645988359432712e-07,0.9991714200367235,0.0008279153644404415,0.9991714200367235
2019-09-20,0.0515667894872077,0.154,0.08517241989216373,-0.0008347757996519192,2,Bear,1.0462446788941946e-18,0.01570847516752216,0.9842915248324777,0.9842915248324777
