Date,MKT,SMB,HML,MOM,RF
2019-01-01,0.000173555071051767,0.0062585644883024205,-0.00129328160363928,-0.00269935367044283,0.00017618698447630101
2019-01-02,-0.00929427335939159,0.00589219318082046,-0.009454894365862,0.005838416859187619,0.00017618698447630101
2019-01-03,-0.00859292010442103,0.00734864371347865,-0.0109871642703382,0.00512709467873873,0.000176186984476079
2019-01-04,0.00180991060783131,-0.0051292428690659095,0.009816161955671811,-0.00880689463163009,0.00017618698447630101
2019-01-07,0.00364077047780542,-0.00417165134374486,0.00131494869888371,-0.00763614292366921,0.000528654084458235
2019-01-08,0.00052509140861523,0.00036519906937826396,0.004602179114381769,-0.00790076684048735,0.00017618698447630101
2019-01-09,0.000834666628634961,0.000814548870487153,-0.00615319066310183,-0.00121846408616288,0.00017618698447630101
2019-01-10,0.00115163277355679,0.00423185942789095,-0.00448085162983858,-0.000829762205565299,0.000176186984476079
2019-01-11,-0.00372427021130195,0.000244395324367153,0.00218465829104497,0.0038421443008911397,0.00017618698447630101
2019-01-14,-0.0060668827994157,0.0026676248683315,-0.00602639998319665,0.00259790765817769,0.000528654084458235
2019-01-15,0.0121235012597278,-0.00442227211209067,0.000113784758932756,0.005180447572879831,0.00017618698447630101
2019-01-16,0.000510484517134868,-0.000343013141454684,0.0005813204277320679,-0.0035071734128839798,0.00017618698447630101
2019-01-17,-0.00029588661186896704,-0.00375238685426049,-0.00319616743244644,0.0035391567509446297,0.000176186984476079
2019-01-18,-0.00250943117334335,-0.00994739538028799,0.000829705850852847,0.0101918443534161,0.00017618698447630101
2019-01-21,-0.000545054225400299,-0.00696808746269761,-0.0054778680909243205,0.0159344263457177,0.000528654084458235
2019-01-22,-0.00182098242546647,-0.006440059694559411,-0.0037271821541786697,0.00295516653409367,0.00017618698447630101
2019-01-23,-0.00445099945495453,0.0015326161467763598,0.0016031920003454201,0.0014244955667999102,0.00017618698447630101
2019-01-24,-0.000560187740104467,-0.0076184768470923805,-0.00189891074550053,0.009334603224132149,0.000175123759131202
2019-01-25,-0.010211207606471399,-0.00876818681900848,-0.00215817566765497,0.0144142773796248,0.000175123759131202
2019-01-28,-0.010701998729300699,-0.011166721563500499,-0.012318050779785,0.011188699721349499,0.000525463287757377
2019-01-29,0.00115051914270925,-0.0024275225124937797,-0.00121110790868539,0.00398856743746534,0.000175123759131202
2019-01-30,0.0001600625680096,0.0048488971836691,0.000954123439482535,-0.00791934757170421,0.000175123759131202
2019-01-31,0.0124064111563706,-0.0040550168615455205,-0.0033381721010348198,0.00069970010843301,0.000174060121933106
2019-02-01,0.00782972457482756,-0.00741606952230778,-0.00950613306911785,0.0039504805396854996,0.000174060121933106
2019-02-04,-0.00366506177260029,-0.0176045640693929,-0.008900785936422179,0.0195490654712429,0.000522271261850671
