predictor,auc,mcfadden_r2,aic
DCC_avg_corr,0.8610999563509384,0.41311345810992306,596.2849050358276
log_VIX,0.9741933992789128,0.6840180799352031,321.5632552169168
FII_net_norm,0.5589221114802511,0.018941965028662855,927.1375913553593
DCC+VIX joint,0.9761717666635851,0.6922360033207609,323.5122657367756
