Date,Regime-Aware,Static HRP,MVO MaxSharpe,Buy-and-Hold
2022-01-31,1.2491531168022456,1.2013495612584355,1.2852276194774888,1.232308752076901
2022-02-01,1.2716449986813207,1.2199753756286547,1.3083690481912187,1.2492612535012226
2022-02-02,1.285134138135002,1.2362062428897553,1.3222477427688981,1.2643405390196436
2022-02-03,1.2695109332593757,1.2244839344560208,1.3061733527355028,1.2505750289316133
2022-02-04,1.2718371326816826,1.224247819393522,1.3085667308616487,1.251309864533648
2022-02-07,1.2568750059229903,1.20461251358862,1.293172510331165,1.2339446867200548
2022-02-08,1.2621525513687204,1.2088214874578551,1.29860246689827,1.2364579876365358
2022-02-09,1.2684834124667361,1.2201111873875974,1.305116157997304,1.2461936852611526
2022-02-10,1.2775037704948535,1.2278200476201186,1.3143970164600278,1.255984016594353
2022-02-11,1.261054679910695,1.2129577648673084,1.2974728898260033,1.2401898146382004
2022-02-14,1.2269425042782067,1.1824667950958467,1.2623755829437426,1.2086244427300155
2022-02-15,1.2538402186242241,1.2128601311155243,1.290050080900257,1.2382531612722125
2022-02-16,1.2520377132611078,1.2114345015619918,1.288195520682,1.2375625680339786
2022-02-17,1.2498497288000165,1.2094042765839117,1.28594434905015,1.2357801896011116
2022-02-18,1.2443421343022252,1.207435796598395,1.280277699805769,1.2311840255894442
2022-02-21,1.2349191707416227,1.202165663476342,1.2705826088977634,1.2260270535474245
2022-02-22,1.2308546013572972,1.1913919025134734,1.2664006581314788,1.2179500505294087
2022-02-23,1.2219416918064312,1.1883705382751868,1.2572303511686287,1.2133411850404603
2022-02-24,1.174177781099563,1.1362607177969302,1.2080870584617494,1.1589582767569715
2022-02-25,1.2028780770265217,1.1620212444986442,1.2376161950554532,1.1867197653652233
2022-02-28,1.2106195266751134,1.1638884239770682,1.245581211328746,1.191377365792546
2022-03-02,1.182024943872875,1.1432387230698378,1.2161608407668472,1.1748136481004776
2022-03-03,1.1719006384144142,1.13766140468331,1.2057441537905136,1.1743239893158346
2022-03-04,1.1651010169763738,1.1307177687297727,1.1987481649428595,1.1616771545613067
2022-03-07,1.1507800423572678,1.1078392687925664,1.1840136124922933,1.1479695523812234
2022-03-08,1.1643881769505198,1.1227043839265627,1.198014738690166,1.1578663244383889
2022-03-09,1.184621373741547,1.1424967521606684,1.2188322533698082,1.174591971899128
2022-03-10,1.1901363514869765,1.1566959338277778,1.2245064990838759,1.1870471537764193
2022-03-11,1.2069383867322911,1.1633998086927637,1.2417937631272087,1.192840394639117
2022-03-14,1.2090355104293635,1.1746547742832343,1.243951450011774,1.2048137395367096
2022-03-15,1.194468436195842,1.1611116414690952,1.228963690794691,1.1875428395974952
2022-03-16,1.2105428136659346,1.1801111764139665,1.2455022829116895,1.20867876506969
2022-03-17,1.2371468556468908,1.1987606063937315,1.2728746274895852,1.226604460149341
2022-03-21,1.2304254296643506,1.1911356912846545,1.265959092317125,1.2206823371755455
2022-03-22,1.2441191359363943,1.201536685038938,1.2800482614326745,1.2349247385701445
2022-03-23,1.2472911413121492,1.2008398021666775,1.2833118716844645,1.232923528081853
2022-03-24,1.2603316412636363,1.2058757247383296,1.2967289704244096,1.2365140708824416
2022-03-25,1.2573791287076665,1.198954218563215,1.2936911917624145,1.228806332063556
2022-03-28,1.2605155031483786,1.2034626590587592,1.2969181420874039,1.2347509276210515
2022-03-29,1.2643384720305715,1.2070153942382642,1.3008515151300741,1.2350562054952416
2022-03-30,1.2713034329599595,1.2145986585081896,1.3080176183360177,1.2390686393721477
2022-03-31,1.2660436511616322,1.2129296018708222,1.3026059384156725,1.238483674009605
2022-04-01,1.2740890249990504,1.2250892569268892,1.3108836559554897,1.2520989284588258
2022-04-04,1.28691316198744,1.2450968060512488,1.3240781433499846,1.2679169815240154
2022-04-05,1.285741396971589,1.2437108765685132,1.322872538735424,1.2668465111546123
2022-04-06,1.2813186212067984,1.2336495205983122,1.3183220368864468,1.257790971279998
2022-04-07,1.2788817911150294,1.225918899360254,1.3158148331691533,1.2481034248996092
2022-04-08,1.2919875733009898,1.237012503936135,1.3292990994401863,1.2581369960826143
2022-04-11,1.2897034916144519,1.2286745194944493,1.326949055374975,1.2506821834951134
2022-04-12,1.2826117850475756,1.2202945292509841,1.319652546222989,1.2424355604474737
2022-04-13,1.288005495421641,1.2207103179877836,1.3252020224649064,1.2460994998892254
2022-04-18,1.2806482360514526,1.2036124065188367,1.317632291565598,1.2288900606325166
2022-04-19,1.2832680667358212,1.1868010254570422,1.3203277807803426,1.2174021844894087
2022-04-20,1.282623872421541,1.197426136319436,1.3196649826702578,1.2233946083097675
2022-04-21,1.2974185806136618,1.213060738836502,1.3348869497252651,1.2382574392473957
2022-04-22,1.2766403338202257,1.1964968537778347,1.3135086444526447,1.223678372683266
2022-04-25,1.2559143032744906,1.1803202190949604,1.2921840633895132,1.2065662804418478
2022-04-26,1.2714596688606186,1.1920332858198273,1.3081783661994941,1.2163133139653797
2022-04-27,1.2419564751808596,1.176116059501737,1.2778231448339274,1.1975775452253983
2022-04-28,1.2550946527524003,1.1922391780962942,1.2913407420423224,1.2119869689046974
2022-04-29,1.2489625290013833,1.1807252788669038,1.2850315276595123,1.1957961298644524
2022-05-02,1.2400391866580123,1.1750800111054571,1.27585048661379,1.1877782310092826
2022-05-04,1.213979438407135,1.150007670415059,1.249038154516027,1.1668332043832965
2022-05-05,1.207195059434452,1.1511743269500783,1.2420578483234477,1.169343813557267
2022-05-06,1.1953353361126382,1.1346927529025659,1.2298556260597941,1.1529754706112818
2022-05-09,1.1852933680856603,1.1284112029371696,1.2195236543514572,1.1459071483046275
