regime,predictor,f_stat,p_value,n_obs,sig
Bear,FII_BUY,,,48,—
Bear,FII_SELL,,,48,—
Bull,FII_BUY,1.559,0.2113,632,
Bull,FII_SELL,1.582,0.2064,632,
Sideways,FII_BUY,4.441,0.0354,949,*
Sideways,FII_SELL,4.101,0.0432,949,*
ALL,FII_BUY,1.639,0.2007,1629,
ALL,FII_SELL,2.165,0.1413,1629,
