lag,F,F_crit,p,sig,n
1,2.114,3.84,0.1454,,1586
2,1.656,3.0,0.1999,,1585
3,1.177,2.61,0.3367,,1584
4,0.942,2.38,0.4603,,1583
5,1.009,2.21,0.4303,,1582
