lag,F,F_crit,p,sig,n
1,1.718,3.84,0.1967,,1644
2,0.917,3.0,0.4275,,1643
3,0.891,2.61,0.4696,,1642
4,0.948,2.38,0.457,,1641
5,0.791,2.21,0.5741,,1640
