Date,dcc_avg_corr
2019-01-03,0.24316353584866338
2019-01-04,0.24465029928291693
2019-01-07,0.2439083007804831
2019-01-08,0.2433063409272469
2019-01-09,0.24183233775250143
2019-01-10,0.24198820234835985
2019-01-11,0.24234865465729366
2019-01-14,0.24119679715000827
2019-01-15,0.23905050906483605
2019-01-16,0.2421558706716753
2019-01-17,0.24156847948092353
2019-01-18,0.2399087778764566
2019-01-21,0.23641300869968324
2019-01-22,0.23463958499471443
2019-01-23,0.23380824479416903
2019-01-24,0.2325008795886014
2019-01-25,0.2322412542558558
2019-01-28,0.22945279728575688
2019-01-29,0.23040385436391497
2019-01-30,0.23016858909259408
2019-01-31,0.22693953719308746
2019-02-01,0.23155005313693888
2019-02-04,0.2322498375067229
2019-02-05,0.2309974955576877
2019-02-06,0.23026011442330643
2019-02-07,0.23179696225258775
2019-02-08,0.23184247920489873
2019-02-11,0.23393293546311653
2019-02-12,0.23409616315636583
2019-02-14,0.23406589562242128
2019-02-15,0.2345991317431913
2019-02-18,0.23439515365848695
2019-02-19,0.23504095639630482
2019-02-20,0.23455893447869502
2019-02-21,0.2362085457969459
2019-02-22,0.23641183146892975
2019-02-25,0.23595680606008637
2019-02-26,0.23713855094675151
2019-02-27,0.2363023120965305
2019-02-28,0.23529579538942472
2019-03-01,0.2338523143616472
2019-03-05,0.23408022589141309
2019-03-06,0.23357313129270488
2019-03-07,0.23286346967363775
2019-03-08,0.23181109033507225
2019-03-11,0.23144292124934462
2019-03-12,0.23221261051620404
2019-03-13,0.2328241914495893
2019-03-14,0.2311431234133206
2019-03-15,0.23112025110942955
2019-03-18,0.22923914260864922
2019-03-19,0.2278299463816777
2019-03-20,0.22853692649061338
2019-03-22,0.22717762767626715
2019-03-25,0.22778783967186533
2019-03-26,0.22758150073969524
2019-03-27,0.2281582814628819
2019-03-28,0.22868728567834853
2019-04-01,0.22897748589776915
2019-04-02,0.22942150251647989
2019-04-03,0.22885663824237637
2019-04-04,0.22925564650240582
2019-04-05,0.22947392927996813
2019-04-08,0.22950709145393705
2019-04-09,0.22897069287956007
2019-04-10,0.22947482747910333
2019-04-11,0.228545519108646
2019-04-12,0.2278166200731383
2019-04-15,0.22757358702664354
2019-04-16,0.22554455347558003
2019-04-18,0.22619458609509632
2019-04-22,0.22545387909161804
2019-04-23,0.22708616624674366
2019-04-24,0.22572830822113568
2019-04-25,0.2278976561663483
2019-04-26,0.22807968020895697
2019-04-30,0.22837253349872097
2019-05-02,0.22756064898088751
2019-05-03,0.22687712608194804
2019-05-06,0.22630521367670486
2019-05-07,0.22631266673990585
2019-05-08,0.22521538411811268
2019-05-09,0.22853582951640075
2019-05-10,0.22813974040968296
2019-05-13,0.22881685044666344
2019-05-14,0.22971917853099447
2019-05-15,0.2287691248981546
2019-05-16,0.22785818831677387
2019-05-17,0.22916233979898823
2019-05-20,0.2293317378982359
2019-05-21,0.23270850588056793
2019-05-22,0.23248049297434925
2019-05-23,0.23216044310254114
2019-05-24,0.2335314341940731
2019-05-27,0.2344000212514461
2019-05-28,0.23374616686412106
2019-05-29,0.2333853780835394
2019-05-30,0.23267728932959914
2019-05-31,0.23261342347122627
2019-06-03,0.23132179849753706
2019-06-04,0.2341815445094678
2019-06-06,0.23424837099988297
2019-06-07,0.23566563749280903
2019-06-10,0.23494592361691283
2019-06-11,0.2353272155188795
2019-06-12,0.23475745158090144
2019-06-13,0.2346597298282708
2019-06-14,0.23453590262657772
2019-06-17,0.23510256810409924
