direction,lag,F,p,n,sig
DCC→VIX,1,1.0491761796626269,0.30584126616695995,1719,
VIX→DCC,3,6.985309928851649,0.00011393687678501975,1717,***
DCC→MKT,1,0.003076639164432914,0.9557721678512998,1815,
