predictor,auc,mcfadden_r2,aic
DCC_avg_corr,0.8638636696757283,0.4178282553147078,597.135491240465
log_VIX,0.9742866274026389,0.6909095604848473,317.68457846916345
FII_net_norm,0.5574544341972989,0.018476771343373333,937.0068610756072
DCC+VIX joint,0.9760169839747981,0.6985187931192357,320.1591918089824
